Vascular Architecture,Treatment Label,Iteration,Seed
Vasc4.0,pre_treatment1_tki_29,iteration_0,"1655,"
Vasc4.0,pre_treatment1_tki_29,iteration_1,"1655,"
Vasc4.0,pre_treatment1_tki_29,iteration_2,"1655,"
Vasc4.0,pre_treatment1_tki_29,iteration_3,"1655,"
Vasc4.0,pre_treatment1_tki_29,iteration_4,"1655,"
Vasc4.0,pre_treatment1_tki_29,iteration_5,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_6,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_7,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_8,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_9,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_10,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_11,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_12,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_13,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_14,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_15,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_16,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_17,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_18,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_19,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_20,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_21,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_22,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_23,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_24,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_25,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_26,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_27,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_28,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_29,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_30,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_31,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_32,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_33,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_34,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_35,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_36,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_37,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_38,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_39,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_40,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_41,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_42,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_43,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_44,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_45,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_46,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_47,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_48,"1656,"
Vasc4.0,pre_treatment1_tki_29,iteration_49,"1656,"
Vasc4.0,pre_treatment2_tki_28,iteration_0,"1704,"
Vasc4.0,pre_treatment2_tki_28,iteration_1,"1704,"
Vasc4.0,pre_treatment2_tki_28,iteration_2,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_3,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_4,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_5,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_6,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_7,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_8,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_9,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_10,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_11,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_12,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_13,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_14,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_15,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_16,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_17,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_18,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_19,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_20,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_21,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_22,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_23,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_24,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_25,"1705,"
Vasc4.0,pre_treatment2_tki_28,iteration_26,"1705,"
